,Unnamed: 0,Ticker,Entry Time,Entry Price,Exit Time,Exit Price,P/L,ROR,Cumulative ROR,Peak ROR,Drawdown
101,102,BANKNIFTY17SEP2022400CE,17-09-2020 09:29,87.15,17-09-2020 10:21,100.0,12.849999999999994,29489.386115892125,-110813.45688450019,120702.56071137282,-231516.017595873
102,103,BANKNIFTY17SEP2022400PE,17-09-2020 09:29,138.15,17-09-2020 10:21,100.5,-37.650000000000006,-54505.97176981542,-165319.42865431562,120702.56071137282,-286021.9893656884
103,104,BANKNIFTY24SEP2022400CE,18-09-2020 09:29,373.9,18-09-2020 14:22,244.3,-129.59999999999997,-69323.34848890077,-234642.7771432164,120702.56071137282,-355345.3378545892
104,105,BANKNIFTY24SEP2022400PE,18-09-2020 09:29,343.85,18-09-2020 14:22,586.0,242.14999999999998,140846.29925839754,-93796.47788481886,120702.56071137282,-214499.03859619168
105,106,BANKNIFTY24SEP2022000CE,21-09-2020 09:29,310.95,21-09-2020 14:04,186.95,-124.0,-79755.58771506674,-173552.0655998856,120702.56071137282,-294254.6263112584
106,107,BANKNIFTY24SEP2022000PE,21-09-2020 09:29,325.95,21-09-2020 14:04,518.15,192.2,117932.19818990644,-55619.86740997915,120702.56071137282,-176322.428121352
107,108,BANKNIFTY24SEP2021300CE,22-09-2020 09:29,299.4,22-09-2020 13:27,318.0,18.600000000000023,12424.849699398814,-43195.01771058034,120702.56071137282,-163897.57842195316
108,109,BANKNIFTY24SEP2021300PE,22-09-2020 09:29,334.5,22-09-2020 13:27,251.05,-83.44999999999999,-49895.366218236166,-93090.3839288165,120702.56071137282,-213792.94464018932
109,110,BANKNIFTY24SEP2021300CE,23-09-2020 09:29,183.9,23-09-2020 10:57,179.25,-4.650000000000006,-5057.096247960854,-98147.48017677736,120702.56071137282,-218850.04088815016
110,111,BANKNIFTY24SEP2021300PE,23-09-2020 09:29,235.0,23-09-2020 10:57,194.2,-40.80000000000001,-34723.404255319154,-132870.8844320965,120702.56071137282,-253573.44514346932
111,112,BANKNIFTY24SEP2020900CE,24-09-2020 09:29,99.3,24-09-2020 09:58,106.2,6.900000000000006,13897.280966767383,-118973.60346532911,120702.56071137282,-239676.16417670192
112,113,BANKNIFTY24SEP2020900PE,24-09-2020 09:29,142.8,24-09-2020 09:58,109.45,-33.35000000000001,-46708.68347338936,-165682.28693871846,120702.56071137282,-286384.8476500913
113,114,BANKNIFTY01OCT2020600CE,25-09-2020 09:29,380.5,25-09-2020 15:24,564.0,183.5,96452.0367936925,-69230.25014502596,120702.56071137282,-189932.81085639878
114,115,BANKNIFTY01OCT2020600PE,25-09-2020 09:29,444.3,25-09-2020 15:24,217.7,-226.60000000000002,-102003.15102408284,-171233.4011691088,120702.56071137282,-291935.9618804816
115,116,BANKNIFTY27AUG2023600CE,27-08-2020 09:29,117.3,27-08-2020 10:02,95.55,-21.75,-37084.3989769821,-208317.8001460909,120702.56071137282,-329020.36085746373
116,117,BANKNIFTY27AUG2023600PE,27-08-2020 09:29,88.85,27-08-2020 10:02,89.4,0.5500000000000114,1238.041643218934,-207079.758502872,120702.56071137282,-327782.31921424484
